Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 16.67      0.01     0.01    22247     0.45     0.45  binsearch_u32Inc
 16.67      0.02     0.01     4040     2.48     2.48  FrustumBoxIntersect
 16.67      0.03     0.01     3853     2.60     2.60  engine_meshRendererCenter
 16.67      0.04     0.01     3563     2.81     2.81  nk_memset
 16.67      0.05     0.01      505    19.80    22.61  DrawNuklear
 16.67      0.06     0.01                             _init
  0.00      0.06     0.00    34236     0.00     0.00  cmp_code
  0.00      0.06     0.00    27272     0.00     0.00  array_size
  0.00      0.06     0.00    23623     0.00     0.00  cmp_str
  0.00      0.06     0.00    22728     0.00     0.00  getTableFloat
  0.00      0.06     0.00    22278     0.00     0.00  ecs_checkEntityID
  0.00      0.06     0.00    22219     0.00     0.45  ecs_checkEntityExists
  0.00      0.06     0.00    22211     0.00     0.00  ecs_checkCompType
  0.00      0.06     0.00    21640     0.00     0.00  array_get
  0.00      0.06     0.00    17489     0.00     0.00  ecs_checkComponentID
  0.00      0.06     0.00    17488     0.00     0.45  ecs_getComp
  0.00      0.06     0.00    17478     0.00     0.45  ecs_getCompData
  0.00      0.06     0.00    13130     0.00     0.00  nk_input_key
  0.00      0.06     0.00    12120     0.00     0.00  PlaneFromPoints
  0.00      0.06     0.00    11268     0.00     0.00  array_insert
  0.00      0.06     0.00    11268     0.00     0.00  array_pushBack
  0.00      0.06     0.00     8407     0.00     0.45  engine_getTransform
  0.00      0.06     0.00     8080     0.00     0.00  nk__next
  0.00      0.06     0.00     8080     0.00     0.00  nk_buffer_align
  0.00      0.06     0.00     8080     0.00     0.00  nk_buffer_alloc
  0.00      0.06     0.00     8080     0.00     0.00  nk_command_buffer_push
  0.00      0.06     0.00     7576     0.00     0.00  luaGetVector3
  0.00      0.06     0.00     7082     0.00     0.00  getTableInteger
  0.00      0.06     0.00     7072     0.00     0.00  luaPushVector3Vals
  0.00      0.06     0.00     6060     0.00     0.00  ColorFromNuklear
  0.00      0.06     0.00     5958     0.00     0.00  hashmap_get
  0.00      0.06     0.00     5708     0.00     0.00  binsearch_hashmapInc
